237;RA039;Votre compte est pas valide ou ne convient pas à cet usage.
238;RG001;Le service d'enregistrement eCom backend est temporairement indisponible. Veuillez soumettre à nouveau votre demande ultérieurement.
239;RG002;Service d'enregistrement eCom backend - Le processus de validation de compte est temporairement indisponible. Veuillez soumettre à nouveau votre demande ultérieurement.
240;RG003;Service d'enregistrement eCom backend - Le processus de routage est temporairement indisponible. Veuillez soumettre à nouveau votre demande ultérieurement.
241;RG004;Echec de l'enregistrement. Les informations relatives à l'enregistrement ne sont pas complètes ou sont incorrectes. Veuillez vérifier les informations soumises et valider votre demande de nouveau.
242;RG005;Echec de l'enregistrement. La version du logiciel ou des données est incorrecte. Veuillez contacter votre support technique DHL.
243;RG006;Echec de l'enregistrement. Votre identifiant eCom est incorrect. Veuillez contacter votre support technique DHL.
244;RG007;Echec de l'enregistrement. L'adresse indiquée n'existe pas aux Etats-Unis. Veuillez contacter votre support technique DHL.
245;RG008;Echec de l'enregistrement. Code postal incorrect pour ce pays. Veuillez corriger et valider votre demande de nouveau. Si ce problème persiste veuillez contacter votre support technique DHL.
246;RG009;Echec de l'enregistrement. Différents expéditeurs et adresses d'enlèvement ne sont pas autorisés. Veuillez corriger et valider. Si ce problème persiste veuillez contacter votre support technique DHL.
247;RG010;Numéro de compte introuvable. Veuillez contacter votre support technique si vous avez besoin d'aide
248;RG011;No de compte non valide. Veuillez corriger et valider à nouveau votre demande. Si ce problème persiste contactez votre Service Clients DHL
249;RG012;No de compte non valide. Veuillez corriger et valider à nouveau votre demande. Si ce problème persiste contactez votre Service Clients DHL
250;RG013;No de compte non valide. Veuillez corriger et valider à nouveau votre demande. Si ce problème persiste contactez votre Service Clients DHL
251;RG014;No de compte non valide. Veuillez corriger et valider à nouveau votre demande. Si ce problème persiste contactez votre Service Clients DHL
252;RG018;Echec de l'enregistrement. eCom site ID invalide. Veuillez contacter votre support technique DHL.
253;RG019;Echec de l'enregistrement. Numéro de compte incorrect. Veuillez corriger et valider votre demande de nouveau. Si ce problème persiste veuillez contacter votre support technique DHL.
254;RG020;No de compte fourni non compatible avec ce type de compte. Veuillez corriger et valider à nouveau votre demande. Si ce problème persiste, contactez votre Service Clients DHL
255;RG021;Echec de l'enregistrement. Code postal incorrect. Veuillez vérifier le code postal et le nom de la ville. Si ce problème persiste veuillez contacter votre support technique DHL.
256;RG022;Echec de l'enregistrement. La ville et le code postal ne correspondent pas. Veuillez corriger et valider. Si ce problème persiste, veuillez contacter votre support technique DHL.
257;RG023;Service d'enregistrement eCom backend - Le processus de validation de compte se heurte à un problème technique. Veuillez soumettre à nouveau votre demande ultérieurement. Si ce problème persiste contactez votre Service Clients DHL
258;RG024;Le service d'enregistrement de base de données eCom backend rencontre des difficultés techniques. Veuillez soumettre à nouveau votre demande ultérieurement. Si ce problème persiste contactez votre Service Clients DHL
259;RG025;compte CASH non autorisé. Veuillez contacter votre Service Clients DHL
260;RG026;eCom Site ID n'est pas en mesure de procéder à l'enregistrement. Veuillez contacter votre service support technique DHL.
261;RG027;Echec de l'enregistrement. Le type de facturation de votre compte est incorrect. Veuillez choisir un autre compte et resoumettre votre demande, ou bien veuillez contacter votre support technique DHL.
262;RG028;Le Site ID eCom est invalide. Veuillez contacter votre Service Clients DHL Shipment Validation- AP Region Code
263;RT0003a;La zone de service indiquée pour la demande d'acheminement est actuellement suspendue
264;RT0003b;La zone de service indiquée pour la demande d'acheminement est actuellement indisponible
265;RT0003c;La zone de service indiquée pour la demande d'acheminement n'est pas encore en service
266;RT0003d;La zone de service identifiée pour la demande d'acheminement est fermée
267;RT0003e;La zone de service indiquée pour la demande d'acheminement a un statut inconnu
268;RT0004;Impossible d'identifier une zone de service pour acheminer la demande. Aucune autre possibilité n'a été trouvée.
269;RT0005;Impossible d'identifier une zone de service pour acheminer la demande. Veuillez saisir un code postal pour affiner la recherche.
270;RT0006;Code postal non valide pour le pays en demande d'acheninement.
271;RT0007;Le code postal n'existe pas dans le pays.
272;RT0008;Le nom de cette ville n'existe pas pour ce pays
273;RT0009;Plusieurs ville ont le même nom dans le pays
274;RT0010;Plusieurs points de service disponibles dans cette ville avec différents services proposés
275;RT0011;le code postal couvre plus d'une ville et a différentes services standards.
276;RT0012;Nom de la ville trouvé en utilisant un algorithme de correspondance
277;RT0013;Code postal trouvé dans le champ ville ou département du message
278;RT0014;Code postal trouvé dans le champ adresse du message
279;RT0015;Pays d'origine non desservi
280;RT1001;Le secteur desservi est suspendu ou pas en fonction
281;RT1002;Secteur desservi indisponible
282;RT1003;Le secteur desservi n'est pas ouvert
283;RT1004;Le secteur desservi est fermé.
284;RT1005;Le statut du secteur desservi est inconnu
285;RT1006;La recherche d'informations concernant le secteur desservi a échoué
286;RT1101;Code postal non fourni par l'Utilisateur
287;RT1102;Le code postal fourni par l'Utilisateur est incorrect
288;RT1103;Le code postal fourni par l'Utilisateur n'existe pas dans le pays
289;RT1104;Le nom de la ville fourni par l'utilisateur n'existe pas dans le pays.
290;RT1105;Plusieurs villes avec le même nom ont été trouvées
291;RT1106;Plusieurs points de service disponibles dans cette ville
292;RT1107;Plusieurs villes trouvées avec le même code postal
293;RT1108;Le nom de la ville fourni par l'utilisateur n'a pas de correspondance exacte
294;RT1109;Le code postal de la ville ou du département est incorrect
295;RT1110;Le code postal saisi est incorrect
296;SV003;Pays destinataire non trouvé. Veuillez rectifier votre recherche et valider
297;SV004;Pays destinataire non desservi. Veuillez rectifier votre recherche et valider
298;SV005;DHL a une resctriction temporaire pour les expéditions vers le pays destinataire. Veuillez rectifier et valider
299;SV006a;Il ya une interdiction temporaire concernant les envois taxables vers le pays destinataire.
300;SV006b;Il ya une interdiction temporaire concernant les expéditions de grandes valeurs et taxables vers le pays destinataire.
